phrasalVerb,example
count down,"The children begin a countdown, backwards from ten."
count down,The countdown begins in December.
count down,The countdown to 2011 begins in Toulouse.
count down,The former Countdown maths whizz also had stitches in her forehead and eyelid.
count down,These changes will provide the base before the intensity switches to the athletes for the final 18-month countdown.
count down,They've got a countdown clock on their website showing a plane heading for the twin towers.
count down,We are counting down the days until the end of the exams.
count down,"Yet in what is now an election countdown, ending such protections will be fiendishly difficult."
count in,People who collect Mickey Mouse paraphernalia because they ' re obsessed with the death count in Disneyland.
count in,‘There’s a party on Saturday.’ – ‘Count me in!’
count on,Count on time to be the healer.
count on,I knew I could count on you to be on time.
count on,I was counting on Jane driving me home.
count on,She hadn’t counted on it raining.
count on,"The whole team was counting on me, and I let them down."
count on,Tournament directors are counting on good weather.
count on,We’re counting on about 20 people coming to the meal.
count on,You can always count on Ted to make a mess of the cooking.
count on,You can always count on him for good advice.
count out,He extended his hands in the manner of a man about to count out points.
count out,He opened his wallet and began to count out crumpled hundreds on to the coffin lid.
count out,"If you’re going to watch the football, you can count me out."
count out,She counted out £100 in £5 notes.
count out,She opened up the side of her van and began to count out rolls of bread and paper cups.
count out,"The waitress, so tense she actually felt taller, began to count out change."
count towards,All the votes have been counted.
count towards,"At least 60 people were injured, but we’re still counting."
count towards,"Beth had a good voice, but had never counted herself as a real musician."
count towards,Do bank holidays count as part of annual leave?
count towards,Does geography count as a science subject?
count towards,"For tax purposes, sick pay is counted as income."
count towards,He counts John Lennon among his musical influences.
count towards,I can count up to ten in German.
count towards,Marks for project work count towards your final exam result.
count towards,Points scored after the bell do not count.
count towards,She put the money in her bag without counting it.
count towards,That counts as a lie as far as I’m concerned.
count towards,They made me feel my views didn’t count for anything.
count towards,We can count ourselves lucky that none of us got hurt.
count towards,What really counts is whether you have good computing skills.
count towards,"You’re late, but you’re here; and that’s what counts."
count upon,I knew I could count on you to be on time.
count upon,I was counting on Jane driving me home.
count upon,She hadn’t counted on it raining.
count upon,"The whole team was counting on me, and I let them down."
count upon,Tournament directors are counting on good weather.
count upon,We’re counting on about 20 people coming to the meal.
count upon,You can always count on Ted to make a mess of the cooking.
count upon,You can always count on him for good advice.
count with,The international community and local population are counting with him to end the nightmare of the past year.
count with,We currently count with the support of over 15 state senators.
cover for,"If Pauline asks where I am, will you cover for me?"
cover for,"I’m just covering for Mrs Tyler, so please bear with me."
cover up,"From what she could learn, the fire at the mine had been an accident and not a cover-up."
cover up,He got his powerful friends to cover up for him.
cover up,"It was a real scandal, but the school tried to cover the whole thing up."
cover up,"It’s freezing outside, so cover up."
cover up,"There mustn't even be the slightest hint of a cover-up, of special treatment."
cover up,"Trying to cover up his slip of the tongue, he added, `Would you mind staying here with Robyn till I come back?"
cover up,"Whatever Bondougou was doing for him, and I only knew of that one cover-up some months ago, he was taking some heavy cream."
cover up,When dad saw my short skirt he told me to cover myself up.
crack down,The school is cracking down on smoking.
crack down,They'll crack down at the crossing points and make escape next to impossible.
crack down,"`But if we had guns,"" Hughes argued, `they'd crack down harder."
crack down,the first to crack down on any hint of insubordination amongst the junior officers.
crack down on,The school is cracking down on smoking.
crack on,"I said goodbye to Juliette, pulled the door shut and locked it all inside, leaving the key in a crack on the steps for the notaire."
crack on,Maybe I did see something and the crack on the head erased it.
crack on,"The maid lashed out with all the venom of an angry mare, giving one of the footpads a nasty crack on the shin."
crack on,We really need to crack on with this painting.
crack up,"But you're clearly having some kind of a crack-up, so I suggest you take three weeks off."
crack up,He just cracked up from the stress.
crack up,If you must crack up... crack does it best It's hard to even write the word.
crack up,Little kids just crack me up with the things they say.
crack up,Reassure me you're not one of the crack-up cases we hear about.
crack up,The girls all cracked up when they saw him.
crack up,They'll crack up at John's place when I tell them about this.
crack up,Two: you can be active by putting up a front and bustling around until you crack up with sheer exhaustion.
cram in,How much surfing can you cram into one afternoon?
cram in,I wanted to cram in visits to a few more places before we left.
crank out,He cranked out one hit song after another.
crank out,"Then when I let the crank out, the bucket will slowly slide down the side of the well."
crank up,"A day in between should give Miss Rondel time enough to crank up her mysterious protege's acquisitive instincts, Peter was thinking."
crank up,We’ll have to crank up the air conditioning tonight.
crash around,I could hear him crashing around in the bathroom.
crash out,"'In this can I'm just going to put a couple of Rohypnol because I don't want to crash out immediately, I want to enjoy it."
crash out,England crashed out of the European Cup again today.
crash out,I crashed out around ten in front of the TV.
crash out,I wanted to crash out somewhere and Isadora said I could stay.
crash out,"To his astonishment and terror, and lasting delight, Sam saw a vast shape crash out of the trees and come careering down the slope."
crawl with,The food was crawling with flies.
crawl with,The town was crawling with police.
cream off,He wondered how much Lawton had creamed off in addition to his share.
cream off,They always cream off all the best students.
crease up,She talks about how she was recently filming Episodes in LA when she spent the best part of a day trying not crease up in hysterics.
crease up,To see them creased up laughing makes me feel blessed.
crease up,You really crease me up!
credit to,The team credited their victory to hard work.
credit with,Clinton credited Mike Boorda with bringing peace to Bosnia.
credit with,Fairlie is widely credited with inventing the phrase ‘the Establishment’.
credit with,Surely you credit me with more sense than that!
creep by,The minutes seemed to be creeping by.
creep in,A new meaning of ‘sexy’ crept into the language a few years ago.
creep in,It seems that very few errors crept into the text.
creep in,"Politicians have warned of voter cynicism creeping in, unless there’s an immediate inquiry."
creep in,The French worry about the number of English words continuing to creep in.
creep into,A new meaning of ‘sexy’ crept into the language a few years ago.
creep into,It seems that very few errors crept into the text.
creep into,"Politicians have warned of voter cynicism creeping in, unless there’s an immediate inquiry."
creep into,The French worry about the number of English words continuing to creep in.
creep up,The number of missing people has crept up to 40.
creep up,The sales figures keep creeping up.
creep up on,I didn’t notice him creeping up on me.
creep up on,It’s funny how old age suddenly creeps up on you.
crop up,Alice’s name keeps cropping up in our conversations.
crop up,Ben had to go back to work – a problem’s cropped up.
crop up,It is only in the last few years that it has cropped up for sale in the UK.
crop up,These foods also often crop up in other research on diet and brain health.
cross off,""""" Most likely she'll be between the ages of twenty and forty, but knowing Richie, don't cross off anyone under seventy-five."
cross off,"The children say their names, and you cross them off."
cross out,Just cross out the old address.
cross over,Another member of the government has crossed over to the opposition.
cross over,Several Latino singers have crossed over into mainstream rock.
crowd in on,Everything was crowding in on me and I felt that I couldn’t cope.
crowd in on,Some youths he didn’t know began crowding in on him.
crowd out,"His voice comes oddly clear across the yard, despite the growing noise from the crowd out front."
crowd out,The old inhabitants are being crowded out by rich young professionals.
crowd out,Traditional industries were crowded out with the growth of mass tourism.
cry off,"I made half-hearted attempts to cry off, but they both insisted."
cry off,"That sort of information is so vague that if it was a business deal, I'd cry off."
cry off,"There are major balls on Monday and Wednesday nights, so if I cry off on Tuesday, no one will be surprised."
cry off,They’ve cried off at the last minute.
cry out,"Anthony slowly sat up, clenching his teeth so he wouldn't cry out."
cry out,He could do what he liked to her but she wasn't going to whimper or cry out for him.
cry out,It’s enough to make most people cry out in horror.
cry out,"Mahoney wanted to cry out: Over a thousand fruit trees, Elijah!"
cry out,"Pain lanced through her chest like the keen blade of a spear, making her cry out in agony."
cry out,Someone was crying out for help.
cry out,‘Be careful!’ Miss Lee cried out.
cry out for,This room is crying out for some new furniture.
cuddle up,He cuddled up to her on the sofa.
cuddle up,"If it's really cold, it's a good excuse to cuddle up for warmth."
cuddle up,"It was wonderful to wake up with his arm round me, cuddled up to me."
cuddle up,Last night we were cuddled up in bed when he noticed a magazine on the floor.
cuddle up,The dog cuddles up on their lap or sits by them while they stroke her and read.
cuddle up,"To get round that, we bought her a kitten, who happily stayed cuddled up beside her for a few months."
curl up,A hedgehog so fat it was unable to curl up for protection has been put on a diet.
curl up,"Anna lay curled up in bed, thinking about what happened."
curl up,He is not a man to curl up for half a day in front of a fire with a book.
curl up,He was unresponsive and curled up in the foetal position.
curl up,It took her about three minutes to get comfortable and curl up in front of the fireplace.
curl up,They recently enjoyed a romantic dinner and then curled up in bed together.
curl up,We curled up together for warmth.
curl up,"We sat curled up on the sofa, watching the late film."
curl up,When she curls up beside him he strokes her gently like a cat.
curl up,When they all started laughing I just wanted to curl up and die!
cut across,A river cut across the track about a hundred metres further on.
cut across,"Cut each half in two again, cutting across to expose the meat in the leg chambers."
cut across,He left his car up the road and cut across the fields on foot.
cut across,Sometimes they actually crossed the river and my route cut across mountains of ice.
cut across,The propeller made a deep cut across her back.
cut across,These problems cut across class boundaries.
cut across,We cut across the field to save time.
cut away,Cut away any dead growth on your roses.
cut back,"Alright, we were also cutting back heavily on defence spending to balance the books."
cut back,Better to cut back now than face the embarrassment of cutting back six months from now.
cut back,"But Americans have cut back on their expenditure amid fears that they may be one of the 240,000 people a month who are losing their jobs."
cut back,But public investment in flood defences is being cut back and it seems politically risky to ignore the insurance issue.
cut back,Capital expenditure will be cut back this year and the pace of the refit programme could slow.
cut back,"Cut back a bit, limit yourself to just one glass."
cut back,"Cut back old fronds now to leave that brown, gnarled, furry mound."
cut back,Cutting back capital expenditure will allow it to get across the valley.
cut back,Government could not keep cutting back on defence while expanding its responsibilities.
cut back,He should cut back now.
cut back,I have obviously cut back a bit on the talks now because I am working full time.
cut back,I just cut back a bit the next day.
cut back,If I said we are cutting back on capital expenditure you would say we have no bottle and the business is going nowhere.
cut back,"If you cut back on fat and sugar, you’ll lose weight."
cut back,It’s time we cut back a little.
cut back,Many people are having to cut back on day-to-day expenditure but they are still determined to get away.
cut back,"My secret garden has been cleaned up and cut back now, and the fence mended."
cut back,Not reduce or cut back; destroy.
cut back,Others will have to cut back on their expenditure and use of energy.
cut back,Pete smokes but he’s trying to cut back.
cut back,"So cutting back a bit on what you drink, and when, might solve your problem."
cut back,So you may just need to cut back a bit.
cut back,Spain's Government had been offering generous public subsidies but is now cutting back.
cut back,That means cutting back deeply on expenditures when the unexpected happens.
cut back,The need to cut back expenditure and to drive value for money both require big changes.
cut back,"The theory is that when women are cutting back on unnecessary expenditure, lipstick is the one luxury that they continue to buy."
cut back,The timetable has now been cut back.
cut back,We’re trying to cut back on the amount we spend on food.
cut back,plans to cut back investment in education
cut back on,"If you cut back on fat and sugar, you’ll lose weight."
cut back on,It’s time we cut back a little.
cut back on,Pete smokes but he’s trying to cut back.
cut back on,We’re trying to cut back on the amount we spend on food.
cut back on,plans to cut back investment in education
cut down,How can you cut down the risk of cancer?
cut down,"I don't mind that he never existed, means he never cut down any trees."
cut down,I told you I was concerned about your drinking and you promised to cut down.
cut down,I’m trying to cut down on salt.
cut down,"Nora lit a cigarette, vowing for the thousandth time to cut down."
cut down,"People suing each other'cause a fence was in the wrong place, or a tree had been cut down."
cut down,The doctor advised him to cut down his working hours.
cut down,These improvements will cut down on traffic noise.
cut down on,How can you cut down the risk of cancer?
cut down on,I’m trying to cut down on salt.
cut down on,The doctor advised him to cut down his working hours.
cut down on,These improvements will cut down on traffic noise.
cut in,He turned over and waited for the answering machine to cut in.
cut in,"The bilge pumps had cut in now, their high-pitched whine distinctive over the deeper roar of the main engines."
cut in,The cooling system cuts in when the temperature gets too high.
cut in,The customers queuing at the check-out would not let anyone cut in just because they had only a few items.
cut in,"The gas turbines cut in, eliminating the telltale trail in the sky."
cut in,They wouldn’t cut me in on the deal.
cut in,"`I'm in the most peculiar mood -' `Charlie's celebrating,"" Levit cut in, grinning hugely."
cut in,"‘That’s rubbish,’ Sue cut in."
cut into,A loud rap on his office door cut into his thoughts.
cut into,The teaching days I do really cut into my time at home.
cut off,A second policeman cut off his escape.
cut off,"A torso with the left leg missing, the right cut off at the thigh, no arms, no head."
cut off,"But the overall impression, when she stepped from her cut-off jeans and slid down her panties, was wonderful."
cut off,Cut the tops off the carrots.
cut off,Don’t cut me off when I’m talking.
cut off,Having a new baby can cut a young mother off from the adult world.
cut off,Her father cut her off without a penny.
cut off,"Nick was smoking, wearing wet cut-off jeans, his body skinny and pale."
cut off,Our house is cut off from the rest of the town.
cut off,She fought her way down it to the fence which cut off both gardens from the motor road.
cut off,"She struggled to shout, but the hand covered her mouth, almost cut off her breath."
cut off,The floods completely cut off the town.
cut off,The government has threatened to cut off our funding.
cut off,The table lurched as a young man in cut-off faded jeans leant his weight on it.
cut off,They cut off the electricity last week.
cut off,"Unfortunately, the part they had to cut off was... Ew, I don't even like writing it."
cut off,We got cut off in the middle of the call.
cut off,Why did all his friends suddenly cut him off?
cut off,Why did you cut off all your hair?
cut out,And perhaps if she was so easily put off she was not really cut out for motherhood.
cut out,"August hoped it would be live; there was less chance of getting edited, important words cut out."
cut out,Bill was never cut out to be a parent.
cut out,Frank’s mother cut him out of her will.
cut out,I cut this article out of a magazine for you.
cut out,I don’t want to cut the children out of our plans.
cut out,I imagine Philip Richmond was pretty miffed at being cut out of his father's will.
cut out,I’ve cut out chocolate completely.
cut out,"The note was prepared from cut-out words from newspapers, roughly glued to the paper."
cut out,"The sound cut out across the waters, a welcome home for a hero."
cut out,"There was no waitress in sight, so he got up and went towards the brightness of the cut-out bar window and bought himself a beer."
cut out,They’ve cut out several scenes in which I appeared.
cut out,"Using the 5cm cutter, cut out six circles from the rectangular cake."
cut out,Will you cut it out – I’m trying to sleep here!
cut out,You'd swear he was a cardboard cut-out except that he'd moved his rifle so he held it at his side for a change.
cut through,England cut through the French defence and scored a try.
cut through,He cut his way through the jungle with a machete.
cut through,He decided to cut through the forest.
cut through,She tried to cut through the undergrowth.
cut through,We need to cut through the political rhetoric and see what really lies behind the policy.
cut up,"At this stage, your child will need someone to cut up her food for her."
cut up,But it was hard to turn off the stories of schoolchildren burned and babies cut up.
cut up,Did you see the way he cut me up there?
cut up,Felicity Maxwell went over from our table to offer to cut up the chops for her.
cut up,"I had to be dressed every day, I had to have my food cut up for me."
cut up,"When Steve cut up rough, she realized she’d gone too far."
cut up,"`She went up on the pavement, cut up a lorry, jumped a light."
dab off,He put his handkerchief to his face and dabbed off a tear.
dab off,"‘This won’t take long,’ said the nurse, dabbing the blood off his arm."
dally with,She had often dallied with the thought of leaving him.
dash off,Between takes she dashes off to her changing room to top up her bottle from the kettle.
dash off,He realises he does want to make a go of things and apologises for dashing off.
dash off,I sat down and dashed off a couple of notes.
dash off,"It is difficult to see this bird clearly, because it dashes off quickly through the treetops if you get near."
dash off,I’ve got to dash off straight after lunch to meet a client.
dash off,The camera is so excited that it dashes off in pursuit of another bicycle strapped to the roof of a truck.
dash off,"These fictions read like imaginative riffs, spontaneously dashed off."
date back to,a large collection of records dating back to the 1950s
date from,These sculptures must date from the middle of the 7th century.
dawn on,Afterwards it dawns on me how tough this is going to be.
dawn on,And then it gradually begins to dawn on you.
dawn on,It was only then that it dawned on both of them that he was serious.
dawn on,It was several months before the truth finally dawned on me.
dawn on,Little by little it dawned on Archie that his wife was not coming back.
dawn on,Then it dawned on me she was with another bloke.
deal in,Lawrence was not a man who dealt in rumours.
deal in,The police said she was dealing in stolen goods.
deal in,a small company that deals in rare books
deal out,He dealt all the cards out.
deal with,Chapter 5 deals only briefly with this issue.
deal with,He believes young offenders should be dealt with quickly and harshly.
deal with,He's negotiating a deal with American publishers for his memoirs.
deal with,Her mind had not had time to deal with the wider implications of all that sadistic megalomania trapped inside the woman who ruled Medalon.
deal with,He’s not great at dealing with stress.
deal with,I spent the morning dealing with my emails.
deal with,"In a time of greater openness, somebody still has to get into the sewer to deal with the rats."
deal with,She’s dealing with her father’s death very well.
deal with,The government must now deal with the problem of high unemployment.
deal with,This is a matter that would be best dealt with by the police.
deal with,We have dealt with the company for years.
deal with,We’ll deal with the question of poverty in a moment.
decide against,In the end we decided against the house because it was too small.
decide on,A panel of experts will decide on two weekly winners.
decide on,"At the former you can browse, ask general questions, and collect information to help you to decide on your career and possible employers."
decide on,CAN'T decide on a career?
decide on,City planners will begin discussing the proposals today and have two months to decide on a refusal or approval.
decide on,Decide on something you would like to do and use it as an incentive to meet people you have something in common with.
decide on,Hardly anybody attends when it has something to decide on.
decide on,He was discharged from the army in 1947 and decided on a career in medical research.
decide on,"He worked at a grocery store before deciding on a career change in his mid-thirties, then went to university and ended up working as a teacher librarian."
decide on,How did you decide on a career in music?
decide on,"In the end we decided on two purchases, both in the property and construction sector."
decide on,It also took six years to decide on the colour of a stair carpet so vast that it was a significant commitment.
decide on,It seems wrong she cannot decide on something far more relevant to her future - whether she can make a baby with his sperm.
decide on,It's tough being a sprinter when your whole year is decided on one day.
decide on,JANUARY is the peak time for deciding on a career change - but consider the legal implications.
decide on,Pity the poor folk who have to decide on this year 's awards for best actress.
decide on,So I want the two of you to go into a room and decide on something unanimous.
decide on,Stamford (right) decided on a career in fatigues after she enjoyed combined cadet force at secondary school.
decide on,"The case is expected to run until the end of next week, with the jury then taking about two days to decide on a verdict."
decide on,The other charity we decided on this year was Help for Heroes.
decide on,The team played a big part in helping her to decide on a career and to find a position.
decide on,There are two ways to decide on your summer holiday this year.
decide on,We decided on Spain for our holiday this year.
decide on,"When he returned to civilian life, he decided on a career in pathology."
decide on,"When it came to deciding on a career, I originally wanted to act."
decide on,"When the time came to decide on a career, he made the obvious choice."
decide on,"Without exception, all the medics I know decided on that career choice because of a strong sense of vocation."
deck out,"Hence the house is decked out as if the year is 1975, and the participants monitored to see if they feel younger at the end of it."
deck out,The lower area is even decked out with playground equipment.
deck out,The streets are decked out with flags and streamers.
declare against,Others followed him and declared against the monarchy.
declare for,Senator Hopkins has now declared for the tax cuts.
defer to,I will defer to Mr Walters on this point.
delight in,He delights in corresponding with his old students.
deliver up,All the firm’s accounting records have now been delivered up to the court.
depart from,Some schools are now departing from the traditional idea of homework.
descend from,Her mother’s family are descended from the Grant clan.
descend from,the cultural traditions that descend from the Bible
descend into,Filming descended into chaos after further arguments.
descend on,Crowds of tourists descended on the tiny church.
descend on,Waves of sadness descended on him.
descend to,She won’t descend to using that kind of language.
dial down,Put insulation around the heater and the pipes and dial down the thermostat.
dial down,The two leaders have agreed that they need to dial down the extent to which their parties pick public fights with each other.
dial down,"With any exercise, dial it down a level from what you think you can accomplish."
dial up,The service allows customers of the bank to dial up from their home computer.
die away,And her voice saying'please give us a ride' gradually died away in the distance.
die away,"As the aftershocks of an earthquake unsettle a city, the great memories trembled inside him and only gradually died away."
die away,The cries of the prisoners gradually die away.
die away,The echoes gradually died away.
die away,"This terrible continuing cry lasted for twenty or thirty minutes, gradually dying away, as one after another could no longer withstand the cold and exposure."
die back,"Do not cut into older, bare stems as they will often die back rather than produce new shoots."
die back,The young stems of walnut are hollow and will often die back if pruned in winter.
die back,"We cut the ivy at the base of each tree so as to make it die back, after which it was fairly easy to tear it off."
die down,I waited for the laughter to die down before I spoke.
die down,"It shows beautiful pink flowers from midsummer through to the autumn, and dies down in winter."
die down,Less vigorous and expensive varieties are better divided after the leaves have died down in summer.
die down,The crisis appeared to be dying down.
die down,The demonstrations are unlikely to die down.
die down,The government may be hoping the dispute will die down over the summer holidays.
die down,The wind died down during the night.
die down,Those in the corridor waited for the firing to die down.
die down,When the laughter died down it was quiet.
die for,1 in 3 people over 65 will die with dementia.
die for,Coal mining is dying in this area.
die for,He says that these are things that he would “die in a ditch for”.
die for,Is this a die in a ditch issue?
die for,I’m proud to tell you that your son died a hero.
die for,My grandfather died at the age of 86.
die for,Our memory of her will never die.
die for,Several people in the village have died violent deaths.
die for,She is dying of cancer.
die for,The car’s just died on me.
die for,They watched the fire dying in the grate.
die for,They were ready to die for their country.
die for,"Tragically, Keats died young."
die off,The generation that fought in the war are all dying off.
die out,For it to die out would be a tragedy.
die out,In this way whole branches of economics died out in our country.
die out,It was one of the last of a run of big spring fish that has now virtually died out.
die out,The tribe’s traditional way of life is dying out.
die out,They are actually a sign that a thunderstorm is dying out and the bad weather has passed.
dig around,It was the prospect of digging around in pockets for 5p coins that provoked irritation.
dig around,"People remember the smell from when they were children, digging around looking for worms."
dig around,Plus she's been digging around in her attic and uncovered some rarer records that haven't been played for years.
dig around,She dug around in her handbag for a pen.
dig around,She was digging around in her purse for a brush when a knock at the door startled her.
dig around,"You have to be careful of digging around for the gold nuggets but we've got a couple of nice horses for the Derby, so who knows?"
dig in,Both sides are digging in for a long and bitter dispute.
dig in,"Come on, everybody – dig in!"
dig in,"Idle chat is doubtless infra dig in First Class, particularly idle chat about French waitresses."
dig in,"Kate came between us, and, biting her bottom lip with her front teeth, floored Kershaw with a swift dig in the solar plexus."
dig in,She gripped his arm so hard that her nails dug in.
dig in,You need to dig the compost in.
dig in,"`But,"" Pete wondered, `how do you dig in a stone tower or a boathouse?"
dig in,"`They dig in near tree roots, where you can't get a good sonar map."
dig into,I’ve been digging manure into the soil.
dig into,I’ve had to dig into my savings this month to pay for my car insurance.
dig into,Jenny dug her nails into the palms of her hand.
dig into,She dug into her pocket and took out a pen.
dig into,The seat belt was digging into my shoulder.
dig out,I’ll dig out my old college notes later.
dig out,Rescuers are still digging people out of the rubble.
dig out,You can really dig out in that Corvette!
dig over,"After removing the turf, we dug over the soil, adding some planting compost."
dig over,Dig over the soil beneath and add some sharp sand to increase drainage and make it workable.
dig over,"If you have dug over the soil, it will be trodden down while you plant."
dig over,"On a dry day, roughly dig over any bare soil on the vegetable patch."
dig over,"Once you have dug over an area, try not to tread on it and compact it again."
dig over,Prepare the soil by digging over and adding sharp sand or grit to keep it well drained and open.
dig over,The first job was to dig over the flowerbeds.
dig over,When she returned the next day she discovered the same patch of garden had been dug over again.
dig up,They dug up a body in his garden.
dig up,They’ve been digging up the road outside our house.
dig up,We will have to dig that tree up.
dig up,"When we investigated his background, we dug up some interesting facts."
dine on,Few people dining on the top floor of the Oxo realise that the flats below are run by a housing association.
dine on,"He insisted on flying first class, dressed expensively and dined on the finest food and champagne."
dine on,"It encourages people to dine on seasonal foods, locally sourced and grown in an ecologically sustainable manner."
dine on,"You must dine on the right food, then spend the day being whimsical."
dine out,Dinner party culture is enjoying a revival as people swap dining out for home cooking to save money.
dine out,Hands up who wants to dine out for less?
dine out,His wife has attacks of sneezing when they dine out.
dine out,New York is completely relaxed in terms of dining out.
dine out,You may go a month without seeing a film or dining out.
dip into,"Dipping his hand into his pocket, he produced the letter I’d sent him."
dip into,"If you’re not sure rock-climbing is for you, this is a chance to dip your toe in."
dip into,Parents are being asked to dip into their pockets for everything the school needs.
dip into,You’d better stop dipping into your savings.
dip out,The company has dipped out on a possible merger.
disagree with,Most people strongly disagree with any cruelty to animals.
disagree with,Spicy food disagrees with me.
dish out,He was dishing out a chicken stew.
dish out,He’s always ready to dish out criticism.
dish out,It's all too easy to dish out advice to someone if you're never going to meet.
dish out,Jennifer Aniston dishes on her engagement and upcoming film.
dish out,"She couldn't see what, so she hoisted the roasting dish out."
dish out,"She recalled the way he always used to say, `A word to the wise,' when he wanted to dish out the dirt on something or somebody."
dish out,Some doctors are dishing out drugs their patients do not need.
dish up,"Fans should applaud them for dishing up something new, but may not be enthralled by the results."
dish up,Hawker stalls dish up local flavour and atmosphere.
dish up,"If this is what she dishes up for starters, we await the rest with relish!"
dish up,"In the unit opposite, Brixton Cornercopia, a deli and restaurant dishing up locally grown and foraged foods, may never have got started without similarly generous terms."
dish up,Jennifer Aniston dishes on her engagement and upcoming film.
dish up,The food's not only inedible but is dished up in large portions.
dish up,"When you were a child, chances are your parents dished up hot chicken soup when you had a cold."
dispense with,"He was brash and quick to dispense with protocol, and had ordered his servants and guards to leave him alone."
dispense with,"I think we all know each other, so we can dispense with the formalities."
dispense with,We have reluctantly decided to dispense with Porter’s services after a series of poor results.
dive in,"Food’s on the table, just dive in!"
dive in,Sometimes you’ve just got to take a chance and dive in.
divide into,Divide 3 into 9.
divide off,the fence that divided off the women’s section
divide up,At first it was divided up as a donation between the coalition parties.
divide up,Divide the children up into groups of four.
divide up,Let’s divide up into groups now.
divide up,Some councils divide up household waste on the street when they collect your recycling.
divide up,The money will be divided up among five different charities.
divide up,The rest of the group had already chosen a camping spot for the night and had divided up the responsibilities for getting settled.
divide up,The salty crust was chipped away and the brown and white flesh divided up in chunks.
divide up,a secret Soviet-German pact for dividing up Europe in 1940
do away with,A lot of the restrictions on imports have been done away with.
do away with,Companies would be aware that doing away with perks would hit morale.
do away with,He has done away with any resemblance of accountability or separation of powers.
do away with,"Mortgage interest relief for homebuyers was done away with 15 years ago, but landlords continue to enjoy it."
do away with,So unless we are going to do away with mobile phones there is no logic in doing away with wifi.
do away with,"Still, it's a terrible thing when you are willing a character to do away with himself simply so that the play can end."
do away with,The trouble with doing away with choice in schools is that there is simply no other mechanism that has been shown to work for producing quality.
do away with,There were rumours that Doug had done away with his wife.
do in,"Finally, you'll be able to find out what she wants to do in the way of a career."
do in,I reckon someone did her in to get her money.
do in,"I was speaking softly, the way you do in a hushed cathedral."
do in,It was climbing that last hill that really did them in.
do in,I’m completely done in after all that running around.
do in,"They had an oddly knowing look, the way country people do in Ireland, the way they do everywhere."
do in,We said all the things people do in those situations which nobody takes seriously.
do out of,That guy at the garage did me out of £50 last night.
do out of,We’ve got a letter from a war widow who claims she’s been done out of her pension.
do over,"As soon as I opened the door, I could see the place had been done over."
do over,Can we afford to have the house done over?
do over,He was done over by a gang of kids.
do over,It needs to be done over and over again.
do over,"OK, we’ll do it over, but try to sing the right words this time."
do over,There's not a lot you can do over a phone when things are going wrong at home.
do over,"These checks will happen, and have happened to me a hundred times, and then all the work is to be done over again."
do over,What would they do differently if they had it to do over again?
do up,Angie was done up in a silky black dress and fishnet stockings.
do up,"Annie walked away, but not in a hurry, she stopped to do up the six buttons of her coat."
do up,Do up your shoelaces.
do up,He held a small parcel done up in coloured paper and ribbon.
do up,Her shiny dark hair was done up in a ponytail.
do up,"His hands lifting her against the trunk of the tree, trembling, trying to do up the buttons of her dress, staring at her, white-faced."
do up,How odd that Maurice can do up a whole house yet not comb his hair.
do up,"It’s a lovely cottage, but it needs doing up a bit."
do up,She had spent hours doing herself up for the party.
do up,The dress does up at the back.
do up,We spent our weekends doing up a 1934 Rolls Royce.
do up,You don’t need to do up the top button.
do with,"As a matter of fact I do have a boyfriend, but what’s that got to do with you?"
do with,He won’t know what to do with himself while Julie is gone.
do with,I could do with a nice cup of tea right now.
do with,"I don’t know what we’re going to do with you, Tony. You’re always in trouble."
do with,I’m quite sure Nancy’s resignation has nothing to do with her health.
do with,I’m sure James could do with some help.
do with,Most of the articles have to do with America’s role in the world since the end of the Cold War.
do with,Reynolds has always claimed that he had nothing to do with her disappearance.
do with,Was the dispute anything to do with safety regulations?
do with,What I do in my own time has nothing to do with you.
do with,What am I going to do with all this food if no one turns up?
do with,What are you doing with my CD player?
do with,What are you going to do with yourself during the school holidays?
do with,What do you usually do with the cat when you’re away?
do with,What have her personal problems got to do with my holiday plans?
do with,‘What have you done with my calculator?’ ‘I put it on your desk.’
do without,All I can offer is: going on an expedition is not something you should do without a lot of research.
do without,But politics is still something broadcasters do without having to be told.
do without,But they could not do without Britain 's expertise in wings.
do without,By then he could have been stripped of both his victories and may have to do without his car 's controversial rear diffuser.
do without,I could do without all these interruptions.
do without,"It's something they can do without thinking, something that continuously involves a pulse and a beat."
do without,More recently there's been the absurd investigation into her entirely legal use of a personal email account - something her predecessors did without anyone objecting.
do without,"Now that they have a regular income, they should be able to do without any help from us."
do without,"Once you have the right habits, it becomes something you do without thinking and then you are walking the right way."
do without,Safety is something we cannot do without.
do without,"There’s no more milk, so I guess we’ll just have to do without."
do without,This is also something you cannot do without seeking help and you are already accomplishing that by writing this letter.
do without,"We all must do without something, child."
do without,"Whether it may come or not, one should try and prepare one 's self to do without it."
do without,Yet most of the C3 's rivals do without.
do without,You don't come through the Munich air crash like he did without having something special.
do without,You’ll be gone for six days? I think we can do without you for that long.
dole out,But only when it comes to doling out presents for relatives.
dole out,But the key to fighting poverty isn't reliant upon the rich doling out guilty money.
dole out,Childcare vouchers for working parents: These are often doled out instead of part of your salary.
dole out,Regulators are clearly tired of doling out fines that do little to discourage criminal activity.
dole out,She says: 'Of course we want to see the number of drugs being doled out come down.
dole out,The government has agreed to dole out an additional £5 million to schools.
dole out,The money will now be doled out in three parts.
